Code matériel ;N° de série ;Catégorie ;Modèle ;Marque ;Statut ;Fin de garantie ;Localisation (dernier niveau) ;Entité (dernier niveau) ;Date inventaire ;Date d'installation ;Localisation (complet) ;Entité (complet) 
100001;YERM118830 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
100002;YBEM566311 ;Ordinateurs de bureau ;SCENIC P ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100003;DG440807 ;Scanner Document ;DR 2580C ;CANON ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
100079;66-79141 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
100118;66-79122 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
100121;SG0331305B ;Imprimante Jet encre ;1220C ;HP ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100142;YK3N056150 ;Ordinateurs de bureau ;ESPRIMO P5925 ;SIEMENS ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100145;YBBG123305 ;Ordinateurs de bureau ;EDITION P ;SIEMENS ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100147;YK3N056193 ;Ordinateurs de bureau ;ESPRIMO P5925 ;SIEMENS ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100150;SG032131ZF ;Imprimante Jet encre ;1220C ;HP ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100150;SG032131ZF ;Imprimante Jet encre ;1220C ;HP ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100153;ES18415170NY ;Imprimante Jet encre ;DESKJET930C ;HP ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100166;A00206L ;Imprimante Laser ;ML-3710ND ;SAMSUNG ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100178;A00235X ;Imprimante Laser ;ML-3710ND ;SAMSUNG ;En service ;;ETAGE 4 ;D.C.R.HUM & SER.ADMIN ;;18/12/2015;A.T.B/LOC1(SIEGE)/ETAGE 4 ;DIR/D.C.R.HUM & SER.ADMIN 
100180;SG03213231 ;Imprimante Jet encre ;1220C ;HP ;En service ;;ETAGE 4 ;D.C.R.HUM & SER.ADMIN ;;18/12/2015;A.T.B/LOC1(SIEGE)/ETAGE 4 ;DIR/D.C.R.HUM & SER.ADMIN 
100183;ES0AJ1C0V0 ;Imprimante Jet encre ;DESKJET930C ;HP ;En service ;;ETAGE 5 ;D.C.RETAIL ;;;A.T.B/LOC1(SIEGE)/ETAGE 5 ;DIR/D.C.RETAIL 
100232;19087612O ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100233;880880029O ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100234;19087606O ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100235;19087613O ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100236;19087610O ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100237;19087624O ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.RETAIL ;;;A.T.B/LOC2(SNDP)/ETAGE 2 ;DIR/D.C.RETAIL 
100238;S79046065H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100239;S79047500H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100240;S79047657H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 3 ;D.C.INSP & AUD ;;;A.T.B/LOC2(SNDP)/ETAGE 3 ;DIR/D.C.INSP & AUD 
100241;S79046060H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 6 ;D.C.CONT FIN ;;;A.T.B/LOC1(SIEGE)/ETAGE 6 ;DIR/D.C.CONT FIN 
100242;S79047659H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.RETAIL ;;;A.T.B/LOC2(SNDP)/ETAGE 2 ;DIR/D.C.RETAIL 
100243;S79047671H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100245;S79047644H ;Ordinateurs portable ;TECRA A10-1EG ;Toshiba ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100247;08-38527784 ;DAB ;DAB EXTERNE ;NCR ;En service ;;A.ARIANA ;AG_ARIANA ;;;A.T.B/*T.NORD/A.ARIANA ;AG/Z.T.NORD/AG_ARIANA 
100286;800281J ;Imprimante Laser ;ML-3710ND ;SAMSUNG ;En service ;;ETAGE 2 ;D.C.CONT FIN ;;;A.T.B/LOC2(SNDP)/ETAGE 2 ;DIR/D.C.CONT FIN 
100305;YKDU044188 ;Ordinateurs de bureau ;ESPRIMO P3510  ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100309;YKDU044219 ;Ordinateurs de bureau ;ESPRIMO P3510 ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100330;1028079;Imprimante de Validation ;PR2PLUS ;OLIVETTI ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100341;1028008;Imprimante de Validation ;PR2PLUS ;OLIVETTI ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100362;06E540G ;Serveur ;P5 52A ;IBM ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
100363;500009;Switch KVM ;4POTRS ;LEVEL ONE ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
100365;106535;Scanner Cheque ;LS515USB ;CTS ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
100369;DG424336 ;Scanner Document ;DR 2580C ;CANON ;En service ;;A.B GUERDENE ;AG_B.GUERDANE ;;;A.T.B/*SUD/A.B GUERDENE ;AG/Z.SUD/AG_B.GUERDANE 
100374;QA00255K ;Imprimante Laser ;ML-4050N ;SAMSUNG ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100376;YK3N056163 ;Ordinateurs de bureau ;ESPRIMO P5925  ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100380;103141;Scanner Cheque ;LS515 ;CTS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100381;KKGNZ0K ;Ordinateurs de bureau ;A50 ;IBM ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100382;24P10429 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100384;500083;Switch KVM ;4POTRS ;LEVEL ONE ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100386;CV411387 ;Scanner Document ;DR 2080C ;CANON ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100388;99LAV89 ;Serveur ;8841;IBM ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100394;LMWA9KD ;Ordinateurs de bureau ;A50 ;IBM ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100401;ES04H1313DJJ ;Imprimante Jet encre ;DESKJET930C ;HP ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100402;YK3F036578 ;Ordinateurs de bureau ;ESPRIMO P5925  ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100403;103012;Scanner Cheque ;LS515 ;CTS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100407;610437;Imprimante de Validation ;PR2PLUS ;OLIVETTI ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100408;YK3F036561 ;Ordinateurs de bureau ;ESPRIMO P5925  ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100409;K3J126753 ;Imprimante Laser ;HL-7050 ;BROTHER ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100413;YK3F036431 ;Ecran ;"21 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100414;YBPB030201 ;Ordinateurs de bureau ;SCENIC P ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100415;YBTM373154 ;Ordinateurs de bureau ;SCENIC T ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100417;838527782;DAB ;DAB EXTERNE ;NCR ;En service ;;*BOX JERBA ;AG_JERBA ;;;A.T.B/*SUD/*BOX JERBA ;AG/Z.SUD/AG_JERBA 
100421;1C0H25022 ;Onduleur ;- ;MGE ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100422;L5J222229 ;Imprimante Laser ;HL-5250DN ;BROTHER ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100424;YK3F036467 ;Ordinateurs de bureau ;ESPRIMO P5925  ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100449;24P4173 ;Ecran ;"15 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100451;800330P ;Imprimante Laser ;ML-4050N ;SAMSUNG ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
100454;YKDU045798 ;Ordinateurs de bureau ;ESPRIMO P3510 ;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
